id,country,province,city,lat,long
280,Uruguay,,,-32.5228,-55.7658
281,Uzbekistan,,,41.377491,64.585262
282,Vanuatu,,,-15.3767,166.9592
283,Venezuela,,,6.4238,-66.5897
284,Vietnam,,,14.058324,108.277199
285,West Bank and Gaza,,,31.9522,35.2332
286,Winter Olympics 2022,,,39.9042,116.4074
287,Yemen,,,15.552727,48.516388
288,Zambia,,,-13.133897,27.849332
289,Zimbabwe,,,-19.015438,29.154857
